 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Real-time                                    |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2022-03-07                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2022-01-13 02:00:00.000 013        -2.00
2022-01-13 03:00:00.000 013        -3.00
2022-01-13 04:00:00.000 013        -3.00
2022-01-13 05:00:00.000 013        -4.00
2022-01-13 06:00:00.000 013        -2.00
2022-01-13 07:00:00.000 013        -1.00
2022-01-13 08:00:00.000 013         1.00
2022-01-13 09:00:00.000 013         2.00
2022-01-13 10:00:00.000 013         2.00
2022-01-13 11:00:00.000 013         1.00
2022-01-13 12:00:00.000 013         0.00
2022-01-13 13:00:00.000 013        -1.00
2022-01-13 14:00:00.000 013        -4.00
2022-01-13 15:00:00.000 013        -5.00
2022-01-13 16:00:00.000 013        -3.00
2022-01-13 17:00:00.000 013        -2.00
2022-01-13 18:00:00.000 013        -3.00
2022-01-13 19:00:00.000 013        -3.00
2022-01-13 20:00:00.000 013        -2.00
2022-01-13 21:00:00.000 013         2.00
2022-01-13 22:00:00.000 013         5.00
2022-01-13 23:00:00.000 013         6.00
2022-01-14 00:00:00.000 014         3.00
2022-01-14 01:00:00.000 014         1.00
2022-01-14 02:00:00.000 014         1.00
2022-01-14 03:00:00.000 014         2.00
2022-01-14 04:00:00.000 014        -1.00
2022-01-14 05:00:00.000 014         0.00
2022-01-14 06:00:00.000 014         2.00
2022-01-14 07:00:00.000 014         2.00
2022-01-14 08:00:00.000 014         6.00
2022-01-14 09:00:00.000 014         8.00
2022-01-14 10:00:00.000 014         9.00
2022-01-14 11:00:00.000 014        14.00
2022-01-14 12:00:00.000 014        12.00
2022-01-14 13:00:00.000 014        12.00
2022-01-14 14:00:00.000 014         5.00
2022-01-14 15:00:00.000 014         4.00
2022-01-14 16:00:00.000 014        -3.00
2022-01-14 17:00:00.000 014       -17.00
2022-01-14 18:00:00.000 014       -28.00
2022-01-14 19:00:00.000 014       -43.00
2022-01-14 20:00:00.000 014       -51.00
2022-01-14 21:00:00.000 014       -73.00
2022-01-14 22:00:00.000 014       -91.00
2022-01-14 23:00:00.000 014       -88.00
2022-01-15 00:00:00.000 015       -73.00
2022-01-15 01:00:00.000 015       -69.00
2022-01-15 02:00:00.000 015       -66.00
2022-01-15 03:00:00.000 015       -54.00
2022-01-15 04:00:00.000 015       -53.00
2022-01-15 05:00:00.000 015       -43.00
2022-01-15 06:00:00.000 015       -51.00
2022-01-15 07:00:00.000 015       -53.00
2022-01-15 08:00:00.000 015       -54.00
2022-01-15 09:00:00.000 015       -55.00
2022-01-15 10:00:00.000 015       -55.00
2022-01-15 11:00:00.000 015       -47.00
2022-01-15 12:00:00.000 015       -36.00
2022-01-15 13:00:00.000 015       -25.00
2022-01-15 14:00:00.000 015       -21.00
2022-01-15 15:00:00.000 015       -22.00
2022-01-15 16:00:00.000 015       -21.00
2022-01-15 17:00:00.000 015       -19.00
2022-01-15 18:00:00.000 015       -24.00
2022-01-15 19:00:00.000 015       -31.00
2022-01-15 20:00:00.000 015       -28.00
2022-01-15 21:00:00.000 015       -33.00
2022-01-15 22:00:00.000 015       -39.00
2022-01-15 23:00:00.000 015       -36.00
2022-01-16 00:00:00.000 016       -41.00
2022-01-16 01:00:00.000 016       -50.00
2022-01-16 02:00:00.000 016       -50.00
2022-01-16 03:00:00.000 016       -49.00
2022-01-16 04:00:00.000 016       -44.00
2022-01-16 05:00:00.000 016       -44.00
2022-01-16 06:00:00.000 016       -46.00
2022-01-16 07:00:00.000 016       -44.00
2022-01-16 08:00:00.000 016       -37.00
2022-01-16 09:00:00.000 016       -43.00
2022-01-16 10:00:00.000 016       -42.00
2022-01-16 11:00:00.000 016       -34.00
2022-01-16 12:00:00.000 016       -31.00
2022-01-16 13:00:00.000 016       -27.00
2022-01-16 14:00:00.000 016       -30.00
2022-01-16 15:00:00.000 016       -28.00
2022-01-16 16:00:00.000 016       -26.00
2022-01-16 17:00:00.000 016       -28.00
2022-01-16 18:00:00.000 016       -25.00
2022-01-16 19:00:00.000 016       -17.00
2022-01-16 20:00:00.000 016       -23.00
2022-01-16 21:00:00.000 016       -22.00
2022-01-16 22:00:00.000 016       -21.00
2022-01-16 23:00:00.000 016       -24.00
2022-01-17 00:00:00.000 017       -24.00
2022-01-17 01:00:00.000 017       -23.00
2022-01-17 02:00:00.000 017       -18.00
2022-01-17 03:00:00.000 017       -18.00
2022-01-17 04:00:00.000 017       -15.00
2022-01-17 05:00:00.000 017       -17.00
2022-01-17 06:00:00.000 017       -17.00
2022-01-17 07:00:00.000 017       -18.00
2022-01-17 08:00:00.000 017       -24.00
2022-01-17 09:00:00.000 017       -24.00
2022-01-17 10:00:00.000 017       -20.00
2022-01-17 11:00:00.000 017       -21.00
2022-01-17 12:00:00.000 017       -24.00
2022-01-17 13:00:00.000 017       -22.00
2022-01-17 14:00:00.000 017       -20.00
2022-01-17 15:00:00.000 017       -21.00
2022-01-17 16:00:00.000 017       -25.00
2022-01-17 17:00:00.000 017       -26.00
2022-01-17 18:00:00.000 017       -27.00
2022-01-17 19:00:00.000 017       -31.00
2022-01-17 20:00:00.000 017       -30.00
2022-01-17 21:00:00.000 017       -27.00
2022-01-17 22:00:00.000 017       -18.00
2022-01-17 23:00:00.000 017       -17.00
2022-01-18 00:00:00.000 018       -32.00
2022-01-18 01:00:00.000 018       -29.00
2022-01-18 02:00:00.000 018       -24.00
2022-01-18 03:00:00.000 018       -25.00
2022-01-18 04:00:00.000 018       -27.00
2022-01-18 05:00:00.000 018       -23.00
2022-01-18 06:00:00.000 018       -23.00
2022-01-18 07:00:00.000 018       -30.00
2022-01-18 08:00:00.000 018       -27.00
2022-01-18 09:00:00.000 018       -25.00
2022-01-18 10:00:00.000 018       -27.00
2022-01-18 11:00:00.000 018       -26.00
2022-01-18 12:00:00.000 018       -16.00
2022-01-18 13:00:00.000 018       -17.00
2022-01-18 14:00:00.000 018       -22.00
2022-01-18 15:00:00.000 018       -15.00
2022-01-18 16:00:00.000 018       -19.00
2022-01-18 17:00:00.000 018       -24.00
2022-01-18 18:00:00.000 018       -24.00
2022-01-18 19:00:00.000 018       -25.00
2022-01-18 20:00:00.000 018       -26.00
2022-01-18 21:00:00.000 018       -32.00
2022-01-18 22:00:00.000 018       -34.00
2022-01-18 23:00:00.000 018       -32.00
2022-01-19 00:00:00.000 019       -30.00
2022-01-19 01:00:00.000 019       -34.00
2022-01-19 02:00:00.000 019       -41.00
2022-01-19 03:00:00.000 019       -44.00
2022-01-19 04:00:00.000 019       -32.00
2022-01-19 05:00:00.000 019       -42.00
2022-01-19 06:00:00.000 019       -39.00
2022-01-19 07:00:00.000 019       -34.00
2022-01-19 08:00:00.000 019       -30.00
2022-01-19 09:00:00.000 019       -31.00
2022-01-19 10:00:00.000 019       -37.00
2022-01-19 11:00:00.000 019       -34.00
2022-01-19 12:00:00.000 019       -30.00
2022-01-19 13:00:00.000 019       -22.00
2022-01-19 14:00:00.000 019       -20.00
2022-01-19 15:00:00.000 019       -19.00
2022-01-19 16:00:00.000 019       -21.00
2022-01-19 17:00:00.000 019       -22.00
2022-01-19 18:00:00.000 019       -20.00
2022-01-19 19:00:00.000 019       -20.00
2022-01-19 20:00:00.000 019       -18.00
2022-01-19 21:00:00.000 019       -15.00
