 Format                 IAGA-2002                                    |
 Source of Data         Borok Geophysical Observatory(Russia)/IPGP   |
 Station Name           Borok                                        |
 IAGA Code              BOX                                          |
 Geodetic Latitude      58.070                                       |
 Geodetic Longitude     38.230                                       |
 Elevation              115.0                                        |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.2 second                                   |
 Data Interval Type     Filtered 1-minute (00:15 - 1:45)             |
 Data Type              variation                                    |
 # Vector 1-minute values are computed from 1-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # Scalar 1-minute values are computed from 5-second values using    |
 # the INTERMAGNET gaussian filter centered on the minute.           |
 # This data file was created using INTERMAGNET data                 |
 # from the Paris GIN. These data were acquired                      |
 # from an INTERMAGNET reported data file.                           |
 # Final data will be available on the INTERMAGNET DVD               |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     BOXX      BOXY      BOXZ      BOXF   |
2022-01-15 01:51:00.000 015     15048.67   3505.79  50737.63  53039.06
2022-01-15 01:52:00.000 015     15048.85   3505.27  50739.56  53040.86
2022-01-15 01:53:00.000 015     15050.13   3502.19  50741.45  53042.79
2022-01-15 01:54:00.000 015     15048.19   3499.13  50743.52  53044.01
2022-01-15 01:55:00.000 015     15047.50   3497.20  50745.61  53045.62
2022-01-15 01:56:00.000 015     15049.61   3495.26  50747.66  53048.11
2022-01-15 01:57:00.000 015     15045.94   3493.32  50749.43  53048.70
2022-01-15 01:58:00.000 015     15044.87   3491.60  50750.90  53049.64
2022-01-15 01:59:00.000 015     15047.52   3489.40  50752.46  53051.63
2022-01-15 02:00:00.000 015     15051.64   3486.29  50754.20  53054.27
2022-01-15 02:01:00.000 015     15053.21   3482.04  50756.22  53056.38
2022-01-15 02:02:00.000 015     15051.49   3478.29  50758.17  53057.50
2022-01-15 02:03:00.000 015     15052.24   3475.27  50760.00  53059.24
2022-01-15 02:04:00.000 015     15054.11   3474.29  50761.63  53061.28
2022-01-15 02:05:00.000 015     15052.89   3473.53  50763.06  53062.22
2022-01-15 02:06:00.000 015     15055.12   3474.08  50764.47  53064.22
2022-01-15 02:07:00.000 015     15057.17   3472.02  50765.61  53065.86
2022-01-15 02:08:00.000 015     15056.08   3470.58  50766.37  53066.28
2022-01-15 02:09:00.000 015     15054.16   3468.82  50766.43  53065.67
2022-01-15 02:10:00.000 015     15051.18   3466.91  50765.99  53064.34
2022-01-15 02:11:00.000 015     15047.66   3466.92  50765.56  53062.83
2022-01-15 02:12:00.000 015     15046.29   3468.37  50765.08  53062.06
2022-01-15 02:13:00.000 015     15044.25   3469.35  50764.48  53060.98
2022-01-15 02:14:00.000 015     15043.92   3469.41  50763.95  53060.37
2022-01-15 02:15:00.000 015     15040.74   3469.69  50763.61  53059.13
2022-01-15 02:16:00.000 015     15036.73   3470.14  50763.04  53057.48
2022-01-15 02:17:00.000 015     15035.31   3468.87  50762.27  53056.24
2022-01-15 02:18:00.000 015     15034.87   3466.49  50761.49  53055.23
2022-01-15 02:19:00.000 015     15034.51   3465.28  50760.94  53054.45
2022-01-15 02:20:00.000 015     15033.77   3463.07  50760.47  53053.60
2022-01-15 02:21:00.000 015     15034.03   3461.82  50760.13  53053.25
2022-01-15 02:22:00.000 015     15033.68   3460.93  50759.88  53052.86
2022-01-15 02:23:00.000 015     15034.54   3458.39  50759.57  53052.67
2022-01-15 02:24:00.000 015     15034.98   3456.76  50759.19  53052.36
2022-01-15 02:25:00.000 015     15035.71   3454.92  50758.66  53051.90
2022-01-15 02:26:00.000 015     15038.32   3451.44  50758.06  53051.84
2022-01-15 02:27:00.000 015     15040.32   3447.11  50757.70  53051.84
2022-01-15 02:28:00.000 015     15041.31   3444.28  50757.52  53051.70
2022-01-15 02:29:00.000 015     15043.91   3438.92  50757.29  53051.90
2022-01-15 02:30:00.000 015     15045.32   3433.94  50757.33  53051.95
2022-01-15 02:31:00.000 015     15045.61   3429.34  50757.26  53051.67
2022-01-15 02:32:00.000 015     15045.38   3424.72  50757.10  53051.19
2022-01-15 02:33:00.000 015     15044.73   3421.53  50756.99  53050.68
2022-01-15 02:34:00.000 015     15044.57   3419.37  50756.76  53050.27
2022-01-15 02:35:00.000 015     15044.69   3418.65  50756.45  53049.93
