 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 01:43:00.000 015     27582.15  -3089.76  22532.48  35925.64
2022-01-15 01:44:00.000 015     27581.81  -3090.38  22532.60  35925.48
2022-01-15 01:45:00.000 015     27581.45  -3090.95  22532.71  35925.30
2022-01-15 01:46:00.000 015     27581.06  -3091.56  22532.82  35925.12
2022-01-15 01:47:00.000 015     27580.84  -3091.95  22532.86  35925.01
2022-01-15 01:48:00.000 015     27580.77  -3092.04  22532.87  35924.97
2022-01-15 01:49:00.000 015     27580.77  -3092.13  22532.88  35925.02
2022-01-15 01:50:00.000 015     27580.84  -3092.16  22532.87  35925.07
2022-01-15 01:51:00.000 015     27581.12  -3092.32  22532.92  35925.33
2022-01-15 01:52:00.000 015     27581.37  -3092.62  22533.02  35925.62
2022-01-15 01:53:00.000 015     27581.54  -3092.69  22533.01  35925.76
2022-01-15 01:54:00.000 015     27582.20  -3093.23  22533.22  35926.41
2022-01-15 01:55:00.000 015     27583.12  -3094.10  22533.53  35927.43
2022-01-15 01:56:00.000 015     27583.84  -3094.64  22533.77  35928.14
2022-01-15 01:57:00.000 015     27584.29  -3094.81  22533.87  35928.52
2022-01-15 01:58:00.000 015     27584.85  -3095.39  22533.98  35929.09
2022-01-15 01:59:00.000 015     27585.33  -3096.01  22534.17  35929.60
2022-01-15 02:00:00.000 015     27585.64  -3096.46  22534.25  35929.94
2022-01-15 02:01:00.000 015     27586.35  -3097.05  22534.41  35930.63
2022-01-15 02:02:00.000 015     27586.57  -3097.34  22534.46  35930.84
2022-01-15 02:03:00.000 015     27586.79  -3097.60  22534.36  35930.98
2022-01-15 02:04:00.000 015     27587.20  -3097.96  22534.38  35931.32
2022-01-15 02:05:00.000 015     27588.14  -3098.19  22534.49  35932.16
2022-01-15 02:06:00.000 015     27589.11  -3097.78  22534.35  35932.77
2022-01-15 02:07:00.000 015     27590.55  -3097.96  22534.49  35933.96
2022-01-15 02:08:00.000 015     27591.63  -3097.80  22534.48  35934.80
2022-01-15 02:09:00.000 015     27592.81  -3097.33  22534.35  35935.57
2022-01-15 02:10:00.000 015     27594.27  -3097.08  22534.35  35936.65
2022-01-15 02:11:00.000 015     27595.48  -3096.59  22534.22  35937.55
2022-01-15 02:12:00.000 015     27596.58  -3095.88  22534.04  35938.17
2022-01-15 02:13:00.000 015     27597.53  -3095.37  22533.85  35938.75
2022-01-15 02:14:00.000 015     27598.27  -3094.76  22533.59  35939.10
2022-01-15 02:15:00.000 015     27599.38  -3094.71  22533.51  35939.89
2022-01-15 02:16:00.000 015     27600.11  -3094.32  22533.36  35940.31
2022-01-15 02:17:00.000 015     27600.77  -3093.68  22533.06  35940.58
2022-01-15 02:18:00.000 015     27601.61  -3093.50  22532.93  35941.15
2022-01-15 02:19:00.000 015     27602.24  -3092.97  22532.69  35941.47
2022-01-15 02:20:00.000 015     27603.40  -3092.14  22532.44  35942.17
2022-01-15 02:21:00.000 015     27603.97  -3091.13  22532.05  35942.28
2022-01-15 02:22:00.000 015     27604.50  -3090.13  22531.69  35942.41
2022-01-15 02:23:00.000 015     27605.09  -3089.30  22531.34  35942.57
2022-01-15 02:24:00.000 015     27605.73  -3088.48  22531.04  35942.83
2022-01-15 02:25:00.000 015     27606.73  -3087.65  22530.78  35943.39
2022-01-15 02:26:00.000 015     27608.05  -3086.81  22530.57  35944.22
