 Format                 IAGA-2002                                    |
 Source of Data         Arctic and Antarctic Research Institute      |
 Station Name           Vostok                                       |
 IAGA CODE              VOS                                          |
 Geodetic Latitude      -78.464                                      |
 Geodetic Longitude     106.835                                      |
 Elevation              3488                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.03-second                                  |
 Data Interval Type     1-minute                                     |
 Data Type              provisional                                  |
 # This data file was created using INTERMAGNET data from the        |
 # Kyoto GIN. These data were acquired from an INTERMAGNET reported  |
 # data file. Final data will be available on the INTERMAGNET DVD.   |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgment templates can be found     |
 # at www.intermagnet.org.                                           |
DATE       TIME         DOY     VOSX      VOSY      VOSZ      VOSF   |
2022-01-15 01:28:00.000 015     -7411.00 -11473.00 -57588.00  99999.00
2022-01-15 01:29:00.000 015     -7409.00 -11471.00 -57589.00  99999.00
2022-01-15 01:30:00.000 015     -7407.00 -11470.00 -57589.00  99999.00
2022-01-15 01:31:00.000 015     -7405.00 -11469.00 -57588.00  99999.00
2022-01-15 01:32:00.000 015     -7403.00 -11466.00 -57588.00  99999.00
2022-01-15 01:33:00.000 015     -7400.00 -11461.00 -57588.00  99999.00
2022-01-15 01:34:00.000 015     -7393.00 -11463.00 -57586.00  99999.00
2022-01-15 01:35:00.000 015     -7389.00 -11467.00 -57583.00  99999.00
2022-01-15 01:36:00.000 015     -7389.00 -11469.00 -57582.00  99999.00
2022-01-15 01:37:00.000 015     -7389.00 -11468.00 -57582.00  99999.00
2022-01-15 01:38:00.000 015     -7389.00 -11467.00 -57581.00  99999.00
2022-01-15 01:39:00.000 015     -7389.00 -11468.00 -57581.00  99999.00
2022-01-15 01:40:00.000 015     -7389.00 -11472.00 -57579.00  99999.00
2022-01-15 01:41:00.000 015     -7392.00 -11471.00 -57578.00  99999.00
2022-01-15 01:42:00.000 015     -7399.00 -11469.00 -57577.00  99999.00
2022-01-15 01:43:00.000 015     -7406.00 -11462.00 -57577.00  99999.00
2022-01-15 01:44:00.000 015     -7418.00 -11452.00 -57579.00  99999.00
2022-01-15 01:45:00.000 015     -7422.00 -11442.00 -57581.00  99999.00
2022-01-15 01:46:00.000 015     -7420.00 -11435.00 -57580.00  99999.00
2022-01-15 01:47:00.000 015     -7418.00 -11431.00 -57580.00  99999.00
2022-01-15 01:48:00.000 015     -7416.00 -11438.00 -57577.00  99999.00
2022-01-15 01:49:00.000 015     -7419.00 -11441.00 -57575.00  99999.00
2022-01-15 01:50:00.000 015     -7422.00 -11445.00 -57574.00  99999.00
2022-01-15 01:51:00.000 015     -7423.00 -11447.00 -57573.00  99999.00
2022-01-15 01:52:00.000 015     -7424.00 -11449.00 -57574.00  99999.00
2022-01-15 01:53:00.000 015     -7432.00 -11441.00 -57579.00  99999.00
2022-01-15 01:54:00.000 015     -7438.00 -11434.00 -57583.00  99999.00
2022-01-15 01:55:00.000 015     -7442.00 -11434.00 -57585.00  99999.00
2022-01-15 01:56:00.000 015     -7451.00 -11430.00 -57589.00  99999.00
2022-01-15 01:57:00.000 015     -7461.00 -11424.00 -57593.00  99999.00
2022-01-15 01:58:00.000 015     -7464.00 -11417.00 -57596.00  99999.00
2022-01-15 01:59:00.000 015     -7469.00 -11409.00 -57598.00  99999.00
2022-01-15 02:00:00.000 015     -7475.00 -11404.00 -57600.00  99999.00
2022-01-15 02:01:00.000 015     -7477.00 -11401.00 -57601.00  99999.00
2022-01-15 02:02:00.000 015     -7482.00 -11399.00 -57603.00  99999.00
2022-01-15 02:03:00.000 015     -7488.00 -11398.00 -57605.00  99999.00
2022-01-15 02:04:00.000 015     -7487.00 -11397.00 -57606.00  99999.00
2022-01-15 02:05:00.000 015     -7487.00 -11401.00 -57606.00  99999.00
2022-01-15 02:06:00.000 015     -7488.00 -11396.00 -57608.00  99999.00
2022-01-15 02:07:00.000 015     -7489.00 -11394.00 -57609.00  99999.00
2022-01-15 02:08:00.000 015     -7490.00 -11398.00 -57609.00  99999.00
2022-01-15 02:09:00.000 015     -7494.00 -11398.00 -57610.00  99999.00
2022-01-15 02:10:00.000 015     -7494.00 -11398.00 -57611.00  99999.00
2022-01-15 02:11:00.000 015     -7496.00 -11400.00 -57610.00  99999.00
2022-01-15 02:12:00.000 015     -7497.00 -11401.00 -57610.00  99999.00
2022-01-15 02:13:00.000 015     -7498.00 -11401.00 -57609.00  99999.00
2022-01-15 02:14:00.000 015     -7500.00 -11398.00 -57610.00  99999.00
2022-01-15 02:15:00.000 015     -7497.00 -11398.00 -57610.00  99999.00
2022-01-15 02:16:00.000 015     -7497.00 -11400.00 -57609.00  99999.00
2022-01-15 02:17:00.000 015     -7504.00 -11403.00 -57609.00  99999.00
2022-01-15 02:18:00.000 015     -7510.00 -11402.00 -57609.00  99999.00
2022-01-15 02:19:00.000 015     -7514.00 -11404.00 -57609.00  99999.00
2022-01-15 02:20:00.000 015     -7518.00 -11406.00 -57609.00  99999.00
2022-01-15 02:21:00.000 015     -7518.00 -11413.00 -57608.00  99999.00
2022-01-15 02:22:00.000 015     -7507.00 -11427.00 -57602.00  99999.00
2022-01-15 02:23:00.000 015     -7505.00 -11439.00 -57593.00  99999.00
2022-01-15 02:24:00.000 015     -7518.00 -11429.00 -57596.00  99999.00
2022-01-15 02:25:00.000 015     -7517.00 -11424.00 -57596.00  99999.00
2022-01-15 02:26:00.000 015     -7513.00 -11433.00 -57590.00  99999.00
2022-01-15 02:27:00.000 015     -7512.00 -11444.00 -57585.00  99999.00
2022-01-15 02:28:00.000 015     -7502.00 -11452.00 -57580.00  99999.00
2022-01-15 02:29:00.000 015     -7499.00 -11456.00 -57577.00  99999.00
2022-01-15 02:30:00.000 015     -7497.00 -11454.00 -57576.00  99999.00
2022-01-15 02:31:00.000 015     -7494.00 -11449.00 -57574.00  99999.00
2022-01-15 02:32:00.000 015     -7494.00 -11449.00 -57572.00  99999.00
2022-01-15 02:33:00.000 015     -7491.00 -11451.00 -57568.00  99999.00
2022-01-15 02:34:00.000 015     -7489.00 -11450.00 -57565.00  99999.00
2022-01-15 02:35:00.000 015     -7491.00 -11447.00 -57563.00  99999.00
2022-01-15 02:36:00.000 015     -7492.00 -11444.00 -57562.00  99999.00
2022-01-15 02:37:00.000 015     -7489.00 -11440.00 -57560.00  99999.00
2022-01-15 02:38:00.000 015     -7485.00 -11439.00 -57558.00  99999.00
2022-01-15 02:39:00.000 015     -7482.00 -11441.00 -57556.00  99999.00
2022-01-15 02:40:00.000 015     -7480.00 -11441.00 -57557.00  99999.00
2022-01-15 02:41:00.000 015     -7475.00 -11442.00 -57557.00  99999.00
2022-01-15 02:42:00.000 015     -7469.00 -11439.00 -57559.00  99999.00
2022-01-15 02:43:00.000 015     -7463.00 -11440.00 -57560.00  99999.00
2022-01-15 02:44:00.000 015     -7456.00 -11445.00 -57560.00  99999.00
2022-01-15 02:45:00.000 015     -7450.00 -11451.00 -57558.00  99999.00
2022-01-15 02:46:00.000 015     -7446.00 -11450.00 -57558.00  99999.00
2022-01-15 02:47:00.000 015     -7446.00 -11450.00 -57559.00  99999.00
2022-01-15 02:48:00.000 015     -7446.00 -11456.00 -57560.00  99999.00
2022-01-15 02:49:00.000 015     -7445.00 -11460.00 -57559.00  99999.00
2022-01-15 02:50:00.000 015     -7441.00 -11460.00 -57560.00  99999.00
2022-01-15 02:51:00.000 015     -7434.00 -11459.00 -57559.00  99999.00
2022-01-15 02:52:00.000 015     -7432.00 -11463.00 -57560.00  99999.00
2022-01-15 02:53:00.000 015     -7428.00 -11467.00 -57560.00  99999.00
2022-01-15 02:54:00.000 015     -7423.00 -11470.00 -57561.00  99999.00
